id,cable_id,description,name,color,coordinates,length,rfs,owners,url,col10
smpcs-packet-2,1885,"[{""latlon"":""-1.163466,136.053286"",""name"":""Biak, Indonesia"",""landing_point_id"":16629},{""latlon"":""-3.097767,133.019425"",""name"":""Fakfak, Indonesia"",""landing_point_id"":16574},{""latlon"":""-2.591566,140.669104"",""name"":""Jayapura, Indonesia"",""landing_point_id"":16627},{""latlon"":""-3.679359,133.791495"",""name"":""Kaimana, Indonesia"",""landing_point_id"":16633},{""latlon"":""-0.861465,134.062003"",""name"":""Manokwari, Indonesia"",""landing_point_id"":16630},{""latlon"":""-8.499083,140.405042"",""name"":""Merauke, Indonesia"",""landing_point_id"":16576},{""latlon"":""-2.175233,139.353285"",""name"":""Sarmi, Indonesia"",""landing_point_id"":16628},{""latlon"":""-0.882070,131.295403"",""name"":""Sorong, Indonesia"",""landing_point_id"":16573},{""latlon"":""-4.550257,136.889614"",""name"":""Timika, Indonesia"",""landing_point_id"":16575},{""latlon"":""-5.626550,132.752043"",""name"":""Tual, Indonesia"",""landing_point_id"":16632},{""latlon"":""-0.383364,130.857610"",""name"":""Waisai, Indonesia"",""landing_point_id"":16631}]",SMPCS Packet-2,#bd75b1,"<MultiGeometry><LineString><coordinates>136.639625876051,-5.04849528616641,0 136.889625698949,-4.55025034358904,0</coordinates></LineString><LineString><coordinates>134.04148318535,-4.17818868180198,0 133.791483362452,-3.67936562946287,0</coordinates></LineString><LineString><coordinates>132.75203097381,-5.63538528170338,0 132.75203097381,-5.12874409271193,0 132.855351213117,-4.42738629676555,0</coordinates></LineString><LineString><coordinates>134.061990983322,-0.861456468675715,0 134.561990629117,-0.361486883149556,0</coordinates></LineString><LineString><coordinates>136.053298166411,-1.18718498816118,0 136.053298166411,-1.53835436536995,0</coordinates></LineString><LineString><coordinates>139.353295828662,-1.42559922285316,0 139.353295828662,-2.17522308583731,0</coordinates></LineString><LineString><coordinates>140.669115209023,-2.59156061504897,0 140.669115209023,-2.09198012067252,0 139.353295828662,-1.42559922285316,0 137.883863275872,-0.97042682440239,0 136.949977218695,-1.26470624093901,0 136.053298166411,-1.53835436536995,0 135.544997745246,-1.36467983326784,0 135.049978564672,-0.664794462016466,0 134.561990629117,-0.361486883149556,0 133.686991248975,-0.361486883149556,0 132.437871040114,0.0278659104788181,0 131.545391203605,-0.382091903381559,0 131.295391380707,-0.882059537706274,0 131.045391557809,-0.757072438821973,0 130.890118230306,-0.690183293826887,0 130.39002092833,-0.690183293826887,0 130.265021016881,-1.06513836404471,0 130.636505128718,-1.52761603023731,0 131.102520423588,-2.40004346450845,0 131.816680073921,-3.11327452228423,0 132.473027265209,-3.3502014839595,0 132.723027088106,-3.3502014839595,0 133.008573760822,-3.11142179167755,0 132.730351301668,-3.55451726624272,0 132.605351390219,-3.67926817456624,0 132.605351390219,-4.17809128515738,0 132.855351213117,-4.42738629676555,0 133.791483362452,-4.4274836615308,0 134.04148318535,-4.17818868180198,0 135.227908126125,-4.71056506774137,0 136.639625876051,-5.04849528616641,0 136.639625876051,-8.40239495365454,0 137.149977077013,-8.96954242488228,0 138.335913736885,-9.1601009080304,0 140.155053073189,-8.7462613295503,0 140.405052896087,-8.49908742360253,0</coordinates></LineString><LineString><coordinates>130.857598722093,-0.383361405408916,0 131.295391380707,-0.882059537706274,0</coordinates></LineString></MultiGeometry>","3,498 km",2015,Telkom Indonesia,,
luwuk-tutuyan-cable-system-ltcs,1883,"[{""latlon"":""-0.938784,122.792770"",""name"":""Luwuk, Indonesia"",""landing_point_id"":16620},{""latlon"":""0.761435,124.574996"",""name"":""Tutuyan, Indonesia"",""landing_point_id"":16621}]",Luwuk Tutuyan Cable System (LTCS),#8dc851,"<MultiGeometry><LineString><coordinates>124.574985985255,0.761436727647562,0 124.699985896704,0.511452526519133,0 124.574985985255,-0.238539460591998,0 123.566588262113,-1.02412958592516,0 123.367467309423,-1.139440959762,0 123.215416635887,-1.08700949057771,0 122.917760596749,-1.00128160916678,0 122.7927606853,-0.938790613692152,0</coordinates></LineString></MultiGeometry>",446 km,2015,Telkom Indonesia,,
tarakan-selor-cable-system-tscs,1882,"[{""latlon"":""2.572030,117.819433"",""name"":""Tanjung Selor, Indonesia"",""landing_point_id"":16619},{""latlon"":""3.327352,117.578515"",""name"":""Tarakan, Indonesia"",""landing_point_id"":16618}]",Tarakan Selor Cable System (TSCS),#0982c5,"<MultiGeometry><LineString><coordinates>117.578506566627,3.3273589200004,0 117.578506566627,3.20246442537181,0 117.828506389525,3.07765221147875,0 117.944424276157,2.82174211269287,0 117.819424364708,2.5720193786318,0</coordinates></LineString></MultiGeometry>",83 km,2014,Telkom Indonesia,,
sumatera-bangka-cable-system-sbcs,1881,"[{""latlon"":""-2.065151,105.164263"",""name"":""Muntok, Indonesia"",""landing_point_id"":16617},{""latlon"":""-2.990980,104.757330"",""name"":""Palembang, Indonesia"",""landing_point_id"":9723}]",Sumatera Bangka Cable System (SBCS),#548f51,"<MultiGeometry><LineString><coordinates>105.164257548497,-2.06514234113759,0 104.84999995862,-2.26051064292151,0 104.753125027247,-2.4166303514772,0 104.718750051599,-2.58209761842272,0 104.590625142364,-2.65389754483516,0 104.550000171143,-2.73973979923203,0 104.757324243023,-2.99098740520724,0</coordinates></LineString></MultiGeometry>",57 km,2014,Telkom Indonesia,,
s-u-b-cable-system,1880,"[{""latlon"":""-3.327967,114.604005"",""name"":""Banjarmasin, Indonesia"",""landing_point_id"":7803},{""latlon"":""-5.152185,119.412401"",""name"":""Makassar, Indonesia"",""landing_point_id"":9720},{""latlon"":""-7.258581,112.746681"",""name"":""Surabaya, Indonesia"",""landing_point_id"":7802}]",S-U-B Cable System,#548f51,"<MultiGeometry><LineString><coordinates>114.603996955047,-3.32758370884411,0 114.228997220701,-3.82660764050015,0 113.460150109109,-5.29018369245263,0 112.746674052042,-6.14129351003969,0 112.621674140593,-6.63818549433641,0 112.746674052042,-7.25859163859927,0 112.746674052042,-6.63818549433641,0 112.871673963491,-6.38979982492209,0 114.456047841106,-5.8742142309723,0 115.583097823943,-5.8742142309723,0 117.583096407125,-6.12284499984379,0 118.662392517542,-5.15218457465517,0 119.412391986235,-5.15218457465517,0 118.662392517542,-4.90314682561014,0 116.583097115534,-4.62870883956066,0 114.456047841106,-4.62870883956066,0 114.353997132149,-3.82660764050015,0 114.603996955047,-3.32758370884411,0</coordinates></LineString></MultiGeometry>","2,009 km",1998,Telkom Indonesia,,
apx-west,1744,"[{""latlon"":""-31.953442,115.857227"",""name"":""Perth, Australia"",""landing_point_id"":3239},{""latlon"":""1.293661,103.853033"",""name"":""Singapore, Singapore"",""landing_point_id"":3029}]",APX-West,#b4b6b8,"<MultiGeometry><LineString><coordinates>103.853028008635,1.29406357456417,0 103.874805336957,1.0222445630105,0 103.932129515098,0.984847983448634,0 104.034082567874,0.917181576358153,0 104.295019883023,0.706265513287033,0 104.632617300116,0.648554746624988,0 107.483201218236,-2.17122206224011,0 107.483201218236,-4.45124028065733,0 106.698533805352,-5.3385101864492,0 106.317088763071,-5.7144878092826,0 105.908690614884,-5.94726124630391,0 104.449121336356,-7.34460710789751,0 113.517083662527,-30.9046896206117,0 115.857316379684,-31.9534389439805,0</coordinates></LineString></MultiGeometry>","4,600 km",2018,"SubPartners,  Telstra,  SingTel",http://www.subpartners.net,
junior,1876,"[{""latlon"":""-22.903397,-43.209568"",""name"":""Rio de Janeiro, Brazil"",""landing_point_id"":3242},{""latlon"":""-23.961844,-46.328072"",""name"":""Santos, Brazil"",""landing_point_id"":3411}]",Junior,#9ea0a2,"<MultiGeometry><LineString><coordinates>-46.3280667735439,-23.961845467703,0 -44.6995523021988,-24.143854972708,0 -43.2095631233462,-22.9034839647324,0</coordinates></LineString></MultiGeometry>",390 km,H2 2017,Google,,
skagerrak-4,1875,"[{""latlon"":""58.150958,7.996255"",""name"":""Kristiansand, Norway"",""landing_point_id"":3131},{""latlon"":""56.510798,9.611684"",""name"":""Tjele, Denmark"",""landing_point_id"":16362}]",Skagerrak 4,#895c3c,"<MultiGeometry><LineString><coordinates>7.99625997696834,58.1510654690743,0 9.13717713748192,57.1488938576759,0 9.13922791727912,56.8045058746059,0 9.20563412023635,56.7087322024086,0 9.29469655714367,56.6373726020663,0 9.2821965659988,56.5826347456069,0 9.30914967190494,56.5529620295576,0 9.61168852008359,56.5107937719934,0</coordinates></LineString></MultiGeometry>",137 km,December 2014,Statnett,,
atisa,1874,"[{""latlon"":""13.464688,144.694688"",""name"":""Piti, Guam"",""landing_point_id"":5973},{""latlon"":""14.144937,145.134337"",""name"":""Sasanlagu, Rota, Northern Mariana Islands"",""landing_point_id"":16551},{""latlon"":""15.151809,145.699571"",""name"":""Sugar Dock, Saipan"",""landing_point_id"":16550},{""latlon"":""14.958767,145.629258"",""name"":""Tachognya Beach, Tinian, Northern Mariana Islands"",""landing_point_id"":16552}]",Atisa,#9ea0a2,"<MultiGeometry><LineString><coordinates>145.629267945204,14.9587710609815,0 145.504268033755,14.8379732490463,0 145.199580749599,15.1518116378589,0</coordinates></LineString><LineString><coordinates>144.634346775016,14.3872221285362,0 145.134346420811,14.144932053704,0</coordinates></LineString><LineString><coordinates>144.694698294762,13.464777824933,0 144.444698471864,13.7076868948469,0 144.634346775016,14.3872221285362,0 145.199580749599,15.1518116378589,0 145.699580395394,15.1518116378589,0</coordinates></LineString></MultiGeometry>",279 km,May 2017,Docomo Pacific,,
brusa,1873,"[{""latlon"":""-3.718836,-38.542968"",""name"":""Fortaleza, Brazil"",""landing_point_id"":3347},{""latlon"":""-22.903397,-43.209568"",""name"":""Rio de Janeiro, Brazil"",""landing_point_id"":3242},{""latlon"":""18.465833,-66.106664"",""name"":""San Juan, Puerto Rico, United States"",""landing_point_id"":4262},{""latlon"":""36.755009,-76.059198"",""name"":""Virginia Beach, Virginia, United States"",""landing_point_id"":4862}]",BRUSA,#9ea0a2,"<MultiGeometry><LineString><coordinates>-43.2095631233462,-22.9034839647324,0 -41.3608827923437,-24.7133441664264,0 -36.6245580226006,-24.3601276204293,0 -30.232375050883,-19.4970665953266,0 -26.3645066971672,-12.8457523365805,0 -26.6897994354768,-3.7439758660021,0 -32.6656252802707,0.985433833924794,0 -38.5429648667082,-3.7187365325791,0 -37.3280731492238,0.823247176303733,0 -55.619319957158,18.2753714485172,0 -65.200758482077,18.9112483234553,0 -66.1066660434486,18.4661054185857,0 -66.4905036621595,19.4364539785329,0 -67.9656002734372,25.1728768147453,0 -70.6205788613754,31.0772018320664,0 -75.3091497586978,36.5544468964861,0 -76.0591980554816,36.7550084406425,0</coordinates></LineString></MultiGeometry>","11,000 km",2018,Telefonica,http://www.globalsolutions.telefonica.com,
best-cable,1851,"[{""latlon"":""5.981330,116.074316"",""name"":""Kota Kinabalu, Malaysia"",""landing_point_id"":6009},{""latlon"":""1.490780,124.839644"",""name"":""Manado, Indonesia"",""landing_point_id"":15115},{""latlon"":""13.419193,144.645958"",""name"":""North Tipalao, GU, United States"",""landing_point_id"":16370},{""latlon"":""7.234064,124.312398"",""name"":""Parang, Philippines"",""landing_point_id"":16369},{""latlon"":""-0.502212,117.153808"",""name"":""Samarinda, Indonesia"",""landing_point_id"":9725},{""latlon"":""4.244685,117.891210"",""name"":""Tawau, Malaysia"",""landing_point_id"":16259},{""latlon"":""4.926374,114.885840"",""name"":""Tungku, Brunei"",""landing_point_id"":5970}]",BEST Cable,#9ea0a2,"<MultiGeometry><LineString><coordinates>124.565903960439,2.76087695888156,0 124.538462573629,1.94009136611918,0 124.839634235276,1.49078257623188,0</coordinates></LineString><LineString><coordinates>123.000377725722,3.05288303055162,0 123.671373344133,6.80370931672771,0 123.930748160389,7.16293768850593,0 124.312388515032,7.23405234112528,0</coordinates></LineString><LineString><coordinates>117.891201657611,4.24467797580139,0 123.000377725722,3.05288303055162,0 124.565903960439,2.76087695888156,0 130.930157264442,4.60843255296446,0 135.291189331296,10.2772806237716,0 144.645967860533,13.4191869613101,0</coordinates></LineString><LineString><coordinates>114.885637380531,4.92676027347057,0 114.885832692892,5.32477051139455,0 115.574015799127,5.88176166459908,0 116.074308413465,5.98132332237813,0 117.790811103728,5.73496078888067,0 117.891201657611,4.24467797580139,0 118.678505787377,2.71571377610874,0 119.321083457169,2.11595750969876,0 119.504872389471,1.13062377778607,0 119.408095114279,0.448564156244144,0 118.262783425629,-0.415880122209754,0 117.153799836243,-0.502205407244186,0</coordinates></LineString></MultiGeometry>","5,092 km",Q1 2018,BEST Cable Corporation,http://www.bestcablecorp.com,
