Country Name,Country Code,2012,2013,2014,2015,2016
Czech Republic,CZE,138957.424743003,,,,
Germany,DEU,951716.711065489,,,,
Djibouti,DJI,2766.3038150141,,,,
Dominica,DMA,222.8355778137,,,,
Denmark,DNK,53703.2239270284,,,,
Dominican Republic,DOM,33395.0844298818,,,,
Algeria,DZA,176471.226769797,,,,
East Asia & Pacific (excluding high income),EAP,15406136.7399648,,,,
Early-demographic dividend,EAR,11287117.6643338,,,,
East Asia & Pacific,EAS,18853260.6214251,,,,
Europe & Central Asia (excluding high income),ECA,4762188.50916561,,,,
Europe & Central Asia,ECS,9398516.90335849,,,,
Ecuador,ECU,52746.5726940589,,,,
"Egypt, Arab Rep.",EGY,295499.745446082,,,,
Euro area,EMU,3162081.89254619,,,,
Eritrea,ERI,4977.8880328195,,,,
Spain,ESP,348257.292233754,,,,
Estonia,EST,23292.7792109021,,,,
Ethiopia,ETH,185292.168103158,,,,
European Union,EUU,4704011.37378387,,,,
Fragile and conflict affected situations,FCS,3252590.00877896,,,,
Finland,FIN,69072.9387223345,,,,
Fiji,FJI,2258.1730567209,,,,
France,FRA,499146.634492193,,,,
Faroe Islands,FRO,47.53593355,,,,
"Micronesia, Fed. Sts.",FSM,41.43738678,,,,
Gabon,GAB,34570.626576672,,,,
United Kingdom,GBR,585779.783273432,,,,
Georgia,GEO,14627.7492943065,,,,
Ghana,GHA,107784.294435056,,,,
Gibraltar,GIB,473.0057293164,,,,
Guinea,GIN,101348.988273839,,,,
"Gambia, The",GMB,3529.2315295618,,,,
Guinea-Bissau,GNB,7604.7344973162,,,,
Equatorial Guinea,GNQ,6374.1710542502,,,,
Greece,GRC,100571.170745123,,,,
Grenada,GRD,726.185419741,,,,
Greenland,GRL,262.8436497732,,,,
Guatemala,GTM,31515.4501791152,,,,
Guam,GUM,85.8694584981,,,,
Guyana,GUY,6140.6872515231,,,,
High income,HIC,16821288.57835,,,,
"Hong Kong SAR, China",HKG,58633.5167723061,,,,
Honduras,HND,20467.1629868832,,,,
Heavily indebted poor countries (HIPC),HPC,4654824.49737201,,,,
Croatia,HRV,30421.0493635559,,,,
Haiti,HTI,8835.4669083877,,,,
Hungary,HUN,62988.3997990485,,,,
IBRD only,IBD,29293198.4008588,,,,
IDA & IBRD total,IBT,36442696.8458716,,,,
IDA total,IDA,7149498.44501277,,,,
IDA blend,IDB,2071154.96061252,,,,
Indonesia,IDN,780550.764031458,,,,
IDA only,IDX,5078343.48440025,,,,
Isle of Man,IMN,,,,,
India,IND,3002894.92752695,,,,
Not classified,INX,,,,,
Ireland,IRL,62433.0138852174,,,,
"Iran, Islamic Rep.",IRN,551144.132445905,,,,
Iraq,IRQ,155529.505046712,,,,
Iceland,ISL,5514.8539922993,,,,
Israel,ISR,84044.4344111728,,,,
Italy,ITA,482634.000294537,,,,
Jamaica,JAM,15474.3204085017,,,,
Jordan,JOR,27198.5945143973,,,,
Japan,JPN,1478858.88126732,,,,
Kazakhstan,KAZ,366502.19730054,,,,
Kenya,KEN,54302.0956122537,,,,
Kyrgyz Republic,KGZ,13794.7412448409,,,,
Cambodia,KHM,127399.586925028,,,,
Kiribati,KIR,58.0354562264,,,,
St. Kitts and Nevis,KNA,194.5675441429,,,,
"Korea, Rep.",KOR,668989.651446327,,,,
Kosovo,KSV,,,,,
Kuwait,KWT,99467.1164008466,,,,
Latin America & Caribbean (excluding high income),LAC,5520360.68684418,,,,
Lao PDR,LAO,161718.737448862,,,,
Lebanon,LBN,20371.9733533155,,,,
Liberia,LBR,2833.9427785052,,,,
Libya,LBY,82129.133946468,,,,
St. Lucia,LCA,598.7659175521,,,,
Latin America & Caribbean,LCN,5748110.70476488,,,,
Least developed countries: UN classification,LDC,4858364.43385817,,,,
Low income,LIC,3109154.71668593,,,,
Liechtenstein,LIE,,,,,
Sri Lanka,LKA,30451.8263103441,,,,
Lower middle income,LMC,9049801.06450186,,,,
Low & middle income,LMY,35942144.6672189,,,,
Lesotho,LSO,3472.7075364245,,,,
Late-demographic dividend,LTE,21703710.3788043,,,,
Lithuania,LTU,29442.2123465731,,,,
Luxembourg,LUX,12610.9976195246,,,,
Latvia,LVA,13943.921724239,,,,
"Macao SAR, China",MAC,1673.8377976914,,,,
St. Martin (French part),MAF,,,,,
Morocco,MAR,80436.7152145251,,,,
Monaco,MCO,,,,,
Moldova,MDA,11350.629999647,,,,
Madagascar,MDG,117932.597060147,,,,
Maldives,MDV,727.1317874063,,,,
Middle East & North Africa,MEA,2686950.43676124,,,,
Mexico,MEX,663424.954361171,,,,
Marshall Islands,MHL,7.9564226778,,,,
Middle income,MIC,32832989.950533,,,,
"Macedonia, FYR",MKD,12992.2469938559,,,,
Mali,MLI,77437.931654233,,,,
Malta,MLT,1921.1277477424,,,,
Myanmar,MMR,528416.217662507,,,,
Middle East & North Africa (excluding high income),MNA,1549311.67895243,,,,
Montenegro,MNE,,,,,
Mongolia,MNG,25944.2551989366,,,,
Northern Mariana Islands,MNP,12.4885857402,,,,
Mozambique,MOZ,380308.292508061,,,,
Mauritania,MRT,13343.1626272099,,,,
Mauritius,MUS,3537.5487112428,,,,
Malawi,MWI,21632.1320932947,,,,
Malaysia,MYS,279098.376755817,,,,
North America,NAC,7371537.23960903,,,,
Namibia,NAM,38049.2707847565,,,,
New Caledonia,NCL,1660.2483619245,,,,
Niger,NER,11460.9158280465,,,,
Nigeria,NGA,301010.125866092,,,,
Nicaragua,NIC,16323.0434302921,,,,
Netherlands,NLD,195873.763889571,,,,
Norway,NOR,63536.7320746753,,,,
Nepal,NPL,40762.7152881677,,,,
Nauru,NRU,4.5730200802,,,,
New Zealand,NZL,78130.9798816606,,,,
OECD members,OED,16240618.062356,,,,
Oman,OMN,62201.5508044815,,,,
Other small states,OSS,381550.816562249,,,,
Pakistan,PAK,369734.583692698,,,,
Panama,PAN,16248.7722905672,,,,
Peru,PER,74806.9567445781,,,,
Philippines,PHL,167297.549725585,,,,
Palau,PLW,1.388755859,,,,
Papua New Guinea,PNG,11087.4570564505,,,,
Poland,POL,414606.89232929,,,,
Pre-demographic dividend,PRE,4241201.92147414,,,,
Puerto Rico,PRI,3293.2548797227,,,,
"Korea, Dem. People’s Rep.",PRK,109894.964984758,,,,
Portugal,PRT,72524.218510274,,,,
Paraguay,PRY,50843.9542041131,,,,
Pacific island small states,PSS,7928.9368967554,,,,
Post-demographic dividend,PST,15202840.4517225,,,,
French Polynesia,PYF,799.8975766048,,,,
Qatar,QAT,103155.120721373,,,,
Romania,ROU,121762.225104696,,,,
Russian Federation,RUS,2803398.4879042,,,,
Rwanda,RWA,6689.9488974334,,,,
South Asia,SAS,3649337.57395105,,,,
Saudi Arabia,SAU,549111.583031927,,,,
Sudan,SDN,491982.266532203,,,,
Senegal,SEN,54185.3718787515,,,,
Singapore,SGP,55910.2813044732,,,,
Solomon Islands,SLB,4591.4645270526,,,,
Sierra Leone,SLE,11810.8870188195,,,,
El Salvador,SLV,12577.7897375628,,,,
San Marino,SMR,,,,,
Somalia,SOM,21916.3232231908,,,,
Serbia,SRB,,,,,
Sub-Saharan Africa (excluding high income),SSA,5054809.47834087,,,,
South Sudan,SSD,,,,,
Sub-Saharan Africa,SSF,5055719.76569916,,,,
Small states,SST,485651.165529176,,,,
Sao Tome and Principe,STP,195.4869612724,,,,
Suriname,SUR,2657.8776235695,,,,
Slovak Republic,SVK,46301.2739711681,,,,
Slovenia,SVN,21074.7483377861,,,,
Sweden,SWE,65767.7870645559,,,,
Swaziland,SWZ,3478.034532137,,,,
Sint Maarten (Dutch part),SXM,,,,,
Seychelles,SYC,910.287358285,,,,
Syrian Arab Republic,SYR,77118.711861813,,,,
Turks and Caicos Islands,TCA,19.1849644978,,,,
Chad,TCD,109796.019972251,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,15296187.5824808,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,5207216.45085845,,,,
Togo,TGO,22931.8554918877,,,,
Thailand,THA,440411.679002401,,,,
Tajikistan,TJK,15364.5752926943,,,,
Turkmenistan,TKM,92178.0749079615,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5684923.79392966,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1549311.67895243,,,,
Timor-Leste,TLS,959.3474036146,,,,
Tonga,TON,158.3607976529,,,,
South Asia (IDA & IBRD),TSA,3649337.57395105,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,5055719.76569916,,,,
Trinidad and Tobago,TTO,61308.5253484805,,,,
Tunisia,TUN,39721.0088471343,,,,
Turkey,TUR,445640.078387113,,,,
Tuvalu,TUV,5.239916769,,,,
Tanzania,TZA,235353.116917654,,,,
Uganda,UGA,80725.0849205519,,,,
Ukraine,UKR,404900.30485731,,,,
Upper middle income,UMC,23783188.8860311,,,,
Uruguay,URY,34237.8295185601,,,,
United States,USA,6343840.50774614,,,,
Uzbekistan,UZB,177223.750994586,,,,
St. Vincent and the Grenadines,VCT,319.2180852433,,,,
"Venezuela, RB",VEN,281921.368594355,,,,
British Virgin Islands,VGB,126.7835994434,,,,
Virgin Islands (U.S.),VIR,61.4927757344,,,,
Vietnam,VNM,310664.069273385,,,,
Vanuatu,VUT,446.2205969357,,,,
West Bank and Gaza,PSE,,,,,
World,WLD,52763433.245569,,,,
Samoa,WSM,356.0869600008,,,,
"Yemen, Rep.",YEM,40924.6276912645,,,,
South Africa,ZAF,450615.780893113,,,,
"Congo, Dem. Rep.",COD,802271.302846335,,,,
Zambia,ZMB,320254.218335756,,,,
Zimbabwe,ZWE,72057.8033221346,,,,
